#Network|Station|Latitude|Longitude|Elevation|SiteName|StartTime|EndTime
NL|G050|53.418438|6.771304|2.0|Roodeschool (niveau 0)|2015-07-16T00:00:00|
NL|G051|53.418438|6.771304|2.0|Roodeschool (niveau 1)|2015-07-16T00:00:00|
NL|G052|53.418438|6.771304|2.0|Roodeschool (niveau 2)|2015-07-16T00:00:00|
NL|G053|53.418438|6.771304|2.0|Roodeschool (niveau 3)|2015-07-16T00:00:00|
NL|G054|53.418438|6.771304|2.0|Roodeschool (niveau 4)|2015-07-16T00:00:00|
NL|G060|53.411095|6.870878|2.0|Spijk - Vierhuizen (niveau 0)|2015-09-15T00:00:00|
NL|G061|53.411095|6.870878|2.0|Spijk - Vierhuizen (niveau 1)|2015-09-15T00:00:00|
NL|G062|53.411095|6.870878|2.0|Spijk - Vierhuizen (niveau 2)|2015-09-15T00:00:00|
NL|G063|53.411095|6.870878|2.0|Spijk - Vierhuizen (niveau 3)|2015-09-15T00:00:00|
NL|G064|53.411095|6.870878|2.0|Spijk - Vierhuizen (niveau 4)|2015-09-15T00:00:00|
NL|G070|53.39458|6.545769|2.0|Warffum (niveau 0)|2015-09-24T00:00:00|
NL|G071|53.39458|6.545769|2.0|Warffum (niveau 1)|2015-09-24T00:00:00|
NL|G072|53.39458|6.545769|2.0|Warffum (niveau 2)|2015-09-24T00:00:00|
NL|G073|53.39458|6.545769|2.0|Warffum (niveau 3)|2015-09-24T00:00:00|
NL|G074|53.39458|6.545769|2.0|Warffum (niveau 4)|2015-09-24T00:00:00|
NL|G080|53.395447|6.643896|2.0|Rottum (niveau 0)|2015-09-22T00:00:00|
NL|G081|53.395447|6.643896|2.0|Rottum (niveau 1)|2015-09-22T00:00:00|
NL|G082|53.395447|6.643896|2.0|Rottum (niveau 2)|2015-09-22T00:00:00|
NL|G083|53.395447|6.643896|2.0|Rottum (niveau 3)|2015-09-22T00:00:00|
NL|G084|53.395447|6.643896|2.0|Rottum (niveau 4)|2015-09-22T00:00:00|
NL|G090|53.387764|6.724525|2.0|Oldenzijl (niveau 0)|2015-09-18T00:00:00|
NL|G091|53.387764|6.724525|2.0|Oldenzijl (niveau 1)|2015-09-18T00:00:00|
NL|G092|53.387764|6.724525|2.0|Oldenzijl (niveau 2)|2015-09-18T00:00:00|
NL|G093|53.387764|6.724525|2.0|Oldenzijl (niveau 3)|2015-09-18T00:00:00|
NL|G094|53.387764|6.724525|2.0|Oldenzijl (niveau 4)|2015-09-18T00:00:00|
NL|G100|53.37847|6.804435|2.0|Godlinze (niveau 0)|2015-09-08T00:00:00|
NL|G101|53.37847|6.804435|2.0|Godlinze (niveau 1)|2015-09-08T00:00:00|
NL|G102|53.37847|6.804435|2.0|Godlinze (niveau 2)|2015-09-08T00:00:00|
NL|G103|53.37847|6.804435|2.0|Godlinze (niveau 3)|2015-09-08T00:00:00|
NL|G104|53.37847|6.804435|2.0|Godlinze (niveau 4)|2015-09-08T00:00:00|
NL|G110|53.366917|6.889139|2.0|Holwierde (niveau 0)|2015-12-08T00:00:00|
NL|G111|53.366917|6.889139|2.0|Holwierde (niveau 1)|2015-12-08T00:00:00|
NL|G112|53.366917|6.889139|2.0|Holwierde (niveau 2)|2015-12-08T00:00:00|
NL|G113|53.366917|6.889139|2.0|Holwierde (niveau 3)|2015-12-08T00:00:00|
NL|G114|53.366917|6.889139|2.0|Holwierde (niveau 4)|2015-12-08T00:00:00|
NL|G120|53.36992|6.57139|2.0|Warffum (niveau 0)|2017-10-05T00:00:00|
NL|G121|53.36992|6.57139|2.0|Warffum (niveau 1)|2017-10-05T00:00:00|
NL|G122|53.36992|6.57139|2.0|Warffum (niveau 2)|2017-10-05T00:00:00|
NL|G123|53.36992|6.57139|2.0|Warffum (niveau 3)|2017-10-05T00:00:00|
NL|G124|53.36992|6.57139|2.0|Warffum (niveau 4)|2017-10-05T00:00:00|
NL|G130|53.34894|6.668564|2.0|Middelstum (niveau 0)|2015-09-22T00:00:00|
NL|G131|53.34894|6.668564|2.0|Middelstum (niveau 1)|2015-09-22T00:00:00|
NL|G132|53.34894|6.668564|2.0|Middelstum (niveau 2)|2015-09-22T00:00:00|
NL|G133|53.34894|6.668564|2.0|Middelstum (niveau 3)|2015-09-22T00:00:00|
NL|G134|53.34894|6.668564|2.0|Middelstum (niveau 4)|2015-09-22T00:00:00|
NL|G140|53.358604|6.770835|2.0|t Zandt GN (niveau 0)|2015-02-11T00:00:00|
NL|G141|53.358604|6.770835|2.0|t Zandt GN (niveau 1)|2015-02-11T00:00:00|
NL|G142|53.358604|6.770835|2.0|t Zandt GN (niveau 2)|2015-02-11T00:00:00|
NL|G143|53.358604|6.770835|2.0|t Zandt GN (niveau 3)|2015-02-11T00:00:00|
NL|G144|53.358604|6.770835|2.0|t Zandt GN (niveau 4)|2015-02-11T00:00:00|
NL|G160|53.338528|6.531397|2.0|Winsum (niveau 0)|2015-09-17T00:00:00|
NL|G161|53.338528|6.531397|2.0|Winsum (niveau 1)|2015-09-17T00:00:00|
NL|G162|53.338528|6.531397|2.0|Winsum (niveau 2)|2015-09-17T00:00:00|
NL|G163|53.338528|6.531397|2.0|Winsum (niveau 3)|2015-09-17T00:00:00|
NL|G164|53.338528|6.531397|2.0|Winsum (niveau 4)|2015-09-17T00:00:00|
NL|G170|53.336197|6.636346|2.0|Middelstum (niveau 0)|2015-04-29T00:00:00|
NL|G171|53.336197|6.636346|2.0|Middelstum (niveau 1)|2015-04-29T00:00:00|
NL|G172|53.336197|6.636346|2.0|Middelstum (niveau 2)|2015-04-29T00:00:00|
NL|G173|53.336197|6.636346|2.0|Middelstum (niveau 3)|2015-04-29T00:00:00|
NL|G174|53.336197|6.636346|2.0|Middelstum (niveau 4)|2015-04-29T00:00:00|
NL|G180|53.330624|6.721702|2.0|Loppersum (niveau 0)|2015-09-18T00:00:00|
NL|G181|53.330624|6.721702|2.0|Loppersum (niveau 1)|2015-09-18T00:00:00|
NL|G182|53.330624|6.721702|2.0|Loppersum (niveau 2)|2015-09-18T00:00:00|
NL|G183|53.330624|6.721702|2.0|Loppersum (niveau 3)|2015-09-18T00:00:00|
NL|G184|53.330624|6.721702|2.0|Loppersum (niveau 4)|2015-09-18T00:00:00|
NL|G190|53.337814|6.817032|2.0|Oostwijtwerd (niveau 0)|2015-09-18T00:00:00|
NL|G191|53.337814|6.817032|2.0|Oostwijtwerd (niveau 1)|2015-09-18T00:00:00|
NL|G192|53.337814|6.817032|2.0|Oostwijtwerd (niveau 2)|2015-09-18T00:00:00|
NL|G193|53.337814|6.817032|2.0|Oostwijtwerd (niveau 3)|2015-09-18T00:00:00|
NL|G194|53.337814|6.817032|2.0|Oostwijtwerd (niveau 4)|2015-09-18T00:00:00|
NL|G200|53.335297|6.895165|2.0|Biessum (niveau 0)|2015-05-28T00:00:00|
NL|G201|53.335297|6.895165|2.0|Biessum (niveau 1)|2015-05-28T00:00:00|
NL|G202|53.335297|6.895165|2.0|Biessum (niveau 2)|2015-05-28T00:00:00|
NL|G203|53.335297|6.895165|2.0|Biessum (niveau 3)|2015-05-28T00:00:00|
NL|G204|53.335297|6.895165|2.0|Biessum (niveau 4)|2015-05-28T00:00:00|
NL|G210|53.313374|6.593737|2.0|Vroetende mol (niveau 0)|2015-09-17T00:00:00|
NL|G211|53.313374|6.593737|2.0|Vroetende mol (niveau 1)|2015-09-17T00:00:00|
NL|G212|53.313374|6.593737|2.0|Vroetende mol (niveau 2)|2015-09-17T00:00:00|
NL|G213|53.313374|6.593737|2.0|Vroetende mol (niveau 3)|2015-09-17T00:00:00|
NL|G214|53.313374|6.593737|2.0|Vroetende mol (niveau 4)|2015-09-17T00:00:00|
NL|G220|53.31035|6.677621|2.0|Stedum (niveau 0)|2015-02-10T00:00:00|
NL|G221|53.31035|6.677621|2.0|Stedum (niveau 1)|2015-02-10T00:00:00|
NL|G222|53.31035|6.677621|2.0|Stedum (niveau 2)|2015-02-10T00:00:00|
NL|G223|53.31035|6.677621|2.0|Stedum (niveau 3)|2015-02-10T00:00:00|
NL|G224|53.31035|6.677621|2.0|Stedum (niveau 4)|2015-02-10T00:00:00|
NL|G230|53.30949|6.767527|2.0|Garrelsweer (niveau 0)|2015-02-16T00:00:00|
NL|G231|53.30949|6.767527|2.0|Garrelsweer (niveau 1)|2015-02-16T00:00:00|
NL|G232|53.30949|6.767527|2.0|Garrelsweer (niveau 2)|2015-02-16T00:00:00|
NL|G233|53.30949|6.767527|2.0|Garrelsweer (niveau 3)|2015-02-16T00:00:00|
NL|G234|53.30949|6.767527|2.0|Garrelsweer (niveau 4)|2015-02-16T00:00:00|
NL|G240|53.289974|6.856169|2.0|Steendam (niveau 0)|2014-11-12T00:00:00|
NL|G241|53.289974|6.856169|2.0|Steendam (niveau 1)|2014-11-12T00:00:00|
NL|G242|53.289974|6.856169|2.0|Steendam (niveau 2)|2014-11-12T00:00:00|
NL|G243|53.289974|6.856169|2.0|Steendam (niveau 3)|2014-11-12T00:00:00|
NL|G244|53.289974|6.856169|2.0|Steendam (niveau 4)|2014-11-12T00:00:00|
NL|G250|53.308117|6.943312|2.0|Weiwerd (niveau 0)|2017-05-12T00:00:00|
NL|G251|53.308117|6.943312|2.0|Weiwerd (niveau 1)|2017-05-12T00:00:00|
NL|G252|53.308117|6.943312|2.0|Weiwerd (niveau 2)|2017-05-12T00:00:00|
NL|G253|53.308117|6.943312|2.0|Weiwerd (niveau 3)|2017-05-12T00:00:00|
NL|G254|53.308117|6.943312|2.0|Weiwerd (niveau 4)|2017-05-12T00:00:00|
NL|G260|53.28208|6.545806|2.0|Adorp (niveau 0)|2015-10-22T00:00:00|
NL|G261|53.28208|6.545806|2.0|Adorp (niveau 1)|2015-10-22T00:00:00|
NL|G262|53.28208|6.545806|2.0|Adorp (niveau 2)|2015-10-22T00:00:00|
NL|G263|53.28208|6.545806|2.0|Adorp (niveau 3)|2015-10-22T00:00:00|
NL|G264|53.28208|6.545806|2.0|Adorp (niveau 4)|2015-10-22T00:00:00|
NL|G270|53.28318|6.628118|2.0|Ellerhuizen (niveau 0)|2015-11-27T00:00:00|
NL|G271|53.28318|6.628118|2.0|Ellerhuizen (niveau 1)|2015-11-27T00:00:00|
NL|G272|53.28318|6.628118|2.0|Ellerhuizen (niveau 2)|2015-11-27T00:00:00|
NL|G273|53.28318|6.628118|2.0|Ellerhuizen (niveau 3)|2015-11-27T00:00:00|
NL|G274|53.28318|6.628118|2.0|Ellerhuizen (niveau 4)|2015-11-27T00:00:00|
NL|G280|53.27221|6.729164|2.0|Woltersum (niveau 0)|2016-03-28T00:00:00|
NL|G281|53.27221|6.729164|2.0|Woltersum (niveau 1)|2016-03-28T00:00:00|
NL|G282|53.27221|6.729164|2.0|Woltersum (niveau 2)|2016-03-28T00:00:00|
NL|G283|53.27221|6.729164|2.0|Woltersum (niveau 3)|2016-03-28T00:00:00|
NL|G284|53.27221|6.729164|2.0|Woltersum (niveau 4)|2016-03-28T00:00:00|
NL|G290|53.281406|6.786966|2.0|Overschild (niveau 0)|2015-09-22T00:00:00|
NL|G291|53.281406|6.786966|2.0|Overschild (niveau 1)|2015-09-22T00:00:00|
NL|G292|53.281406|6.786966|2.0|Overschild (niveau 2)|2015-09-22T00:00:00|
NL|G293|53.281406|6.786966|2.0|Overschild (niveau 3)|2015-09-22T00:00:00|
NL|G294|53.281406|6.786966|2.0|Overschild (niveau 4)|2015-09-22T00:00:00|
NL|G300|53.27917|6.895145|2.0|Meedhuizen (niveau 0)|2014-10-23T00:00:00|
NL|G301|53.27917|6.895145|2.0|Meedhuizen (niveau 1)|2014-10-23T00:00:00|
NL|G302|53.27917|6.895145|2.0|Meedhuizen (niveau 2)|2014-10-23T00:00:00|
NL|G303|53.27917|6.895145|2.0|Meedhuizen (niveau 3)|2014-10-23T00:00:00|
NL|G304|53.27917|6.895145|2.0|Meedhuizen (niveau 4)|2014-10-23T00:00:00|
NL|G310|53.296196|7.021759|2.0|Borgsweer (niveau 0)|2015-11-27T00:00:00|
NL|G311|53.296196|7.021759|2.0|Borgsweer (niveau 1)|2015-11-27T00:00:00|
NL|G312|53.296196|7.021759|2.0|Borgsweer (niveau 2)|2015-11-27T00:00:00|
NL|G313|53.296196|7.021759|2.0|Borgsweer (niveau 3)|2015-11-27T00:00:00|
NL|G314|53.296196|7.021759|2.0|Borgsweer (niveau 4)|2015-11-27T00:00:00|
NL|G320|53.24981|6.57919|2.0|Groningen - Hornbach (niveau 0)|2015-11-27T00:00:00|
NL|G321|53.24981|6.57919|2.0|Groningen - Hornbach (niveau 1)|2015-11-27T00:00:00|
NL|G322|53.24981|6.57919|2.0|Groningen - Hornbach (niveau 2)|2015-11-27T00:00:00|
NL|G323|53.24981|6.57919|2.0|Groningen - Hornbach (niveau 3)|2015-11-27T00:00:00|
NL|G324|53.24981|6.57919|2.0|Groningen - Hornbach (niveau 4)|2015-11-27T00:00:00|
NL|G330|53.24991|6.670763|2.0|Garmerwolde (niveau 0)|2016-01-22T00:00:00|
NL|G331|53.24991|6.670763|2.0|Garmerwolde (niveau 1)|2016-01-22T00:00:00|
NL|G332|53.24991|6.670763|2.0|Garmerwolde (niveau 2)|2016-01-22T00:00:00|
NL|G333|53.24991|6.670763|2.0|Garmerwolde (niveau 3)|2016-01-22T00:00:00|
NL|G334|53.24991|6.670763|2.0|Garmerwolde (niveau 4)|2016-01-22T00:00:00|
NL|G340|53.25252|6.76508|2.0|Overschild (niveau 0)|2014-10-23T00:00:00|
NL|G341|53.25252|6.76508|2.0|Overschild (niveau 1)|2014-10-23T00:00:00|
NL|G342|53.25252|6.76508|2.0|Overschild (niveau 2)|2014-10-23T00:00:00|
NL|G343|53.25252|6.76508|2.0|Overschild (niveau 3)|2014-10-23T00:00:00|
NL|G344|53.25252|6.76508|2.0|Overschild (niveau 4)|2014-10-23T00:00:00|
NL|G350|53.254936|6.862136|2.0|Sidderburen (niveau 0)|2017-04-04T00:00:00|
NL|G351|53.254936|6.862136|2.0|Sidderburen (niveau 1)|2017-04-04T00:00:00|
NL|G352|53.254936|6.862136|2.0|Sidderburen (niveau 2)|2017-04-04T00:00:00|
NL|G353|53.254936|6.862136|2.0|Sidderburen (niveau 3)|2017-04-04T00:00:00|
NL|G354|53.254936|6.862136|2.0|Sidderburen (niveau 4)|2017-04-04T00:00:00|
NL|G360|53.26505|6.924454|2.0|Wagenborgen (niveau 0)|2015-12-07T00:00:00|
NL|G361|53.26505|6.924454|2.0|Wagenborgen (niveau 1)|2015-12-07T00:00:00|
NL|G362|53.26505|6.924454|2.0|Wagenborgen (niveau 2)|2015-12-07T00:00:00|
NL|G363|53.26505|6.924454|2.0|Wagenborgen (niveau 3)|2015-12-07T00:00:00|
NL|G364|53.26505|6.924454|2.0|Wagenborgen (niveau 4)|2015-12-07T00:00:00|
NL|G370|53.273952|7.035|2.0|Woldendorp (niveau 0)|2015-12-02T00:00:00|
NL|G371|53.273952|7.035|2.0|Woldendorp (niveau 1)|2015-12-02T00:00:00|
NL|G372|53.273952|7.035|2.0|Woldendorp (niveau 2)|2015-12-02T00:00:00|
NL|G373|53.273952|7.035|2.0|Woldendorp (niveau 3)|2015-12-02T00:00:00|
NL|G374|53.273952|7.035|2.0|Woldendorp (niveau 4)|2015-12-02T00:00:00|
NL|G380|53.200512|6.547563|2.0|Groningen - gasunie (niveau 0)|2016-04-11T00:00:00|
NL|G381|53.200512|6.547563|2.0|Groningen - gasunie (niveau 1)|2016-04-11T00:00:00|
NL|G382|53.200512|6.547563|2.0|Groningen - gasunie (niveau 2)|2016-04-11T00:00:00|
NL|G383|53.200512|6.547563|2.0|Groningen - gasunie (niveau 3)|2016-04-11T00:00:00|
NL|G384|53.200512|6.547563|2.0|Groningen - gasunie (niveau 4)|2016-04-11T00:00:00|
NL|G390|53.22525|6.724121|2.0|Woudbloemsloot (niveau 0)|2014-10-24T00:00:00|
NL|G391|53.22525|6.724121|2.0|Woudbloemsloot (niveau 1)|2014-10-24T00:00:00|
NL|G392|53.22525|6.724121|2.0|Woudbloemsloot (niveau 2)|2014-10-24T00:00:00|
NL|G393|53.22525|6.724121|2.0|Woudbloemsloot (niveau 3)|2014-10-24T00:00:00|
NL|G394|53.22525|6.724121|2.0|Woudbloemsloot (niveau 4)|2014-10-24T00:00:00|
NL|G400|53.22501|6.809874|2.0|Schildwolde (niveau 0)|2014-10-24T00:00:00|
NL|G401|53.22501|6.809874|2.0|Schildwolde (niveau 1)|2014-10-24T00:00:00|
NL|G402|53.22501|6.809874|2.0|Schildwolde (niveau 2)|2014-10-24T00:00:00|
NL|G403|53.22501|6.809874|2.0|Schildwolde (niveau 3)|2014-10-24T00:00:00|
NL|G404|53.22501|6.809874|2.0|Schildwolde (niveau 4)|2014-10-24T00:00:00|
NL|G410|53.223434|6.891867|2.0|Noordbroek (niveau 0)|2015-09-22T00:00:00|
NL|G411|53.223434|6.891867|2.0|Noordbroek (niveau 1)|2015-09-22T00:00:00|
NL|G412|53.223434|6.891867|2.0|Noordbroek (niveau 2)|2015-09-22T00:00:00|
NL|G413|53.223434|6.891867|2.0|Noordbroek (niveau 3)|2015-09-22T00:00:00|
NL|G414|53.223434|6.891867|2.0|Noordbroek (niveau 4)|2015-09-22T00:00:00|
NL|G420|53.221687|6.988649|2.0|Nieuwolda (niveau 0)|2015-02-11T00:00:00|
NL|G421|53.221687|6.988649|2.0|Nieuwolda (niveau 1)|2015-02-11T00:00:00|
NL|G422|53.221687|6.988649|2.0|Nieuwolda (niveau 2)|2015-02-11T00:00:00|
NL|G423|53.221687|6.988649|2.0|Nieuwolda (niveau 3)|2015-02-11T00:00:00|
NL|G424|53.221687|6.988649|2.0|Nieuwolda (niveau 4)|2015-02-11T00:00:00|
NL|G430|53.231853|7.079074|2.0|Finsterwolde (niveau 0)|2015-06-25T00:00:00|
